,target
1_1,44.9381575891
1_2,51.79938435125
1_3,63.43535769355
1_4,60.0118001216
1_5,68.22733728135
2_1,158381.275172519
2_2,272626.983271055
2_3,245984.359963544
2_4,275518.305618162
2_5,163671.432670501
3_1,395.3949015545
3_2,466.3770562646
3_3,504.8228454483
3_4,452.0840261763
3_5,457.69333009635
4_1,735.49256992765
4_2,753.8679418903
4_3,888.0019088667
4_4,885.5516747829
4_5,754.4995750075
5_1,109.1502474127
5_2,76.6764407283
5_3,67.3360480823
5_4,86.2256976622
5_5,84.8230542326
6_1,13615.12454334
6_2,761.8878265764
6_3,677.223832952
6_4,4396.2339745145
6_5,2767.9377006663
7_1,195.4479746918
7_2,208.1404602736
7_3,247.79466455714999
7_4,178.7861255869
7_5,210.1182933313
8_1,35443.37494341411
8_2,39105.25449149535
8_3,27782.7622614137
8_4,41826.01827547165
8_5,37252.92926491849
9_1,23665.20838506305
9_2,32820.17236293295
9_3,37302.47136888425
9_4,45683.23004804495
9_5,39645.45498810476
10_1,364334.818720297
10_2,340736.032560558
10_3,406573.513899022
10_4,344593.144954664
10_5,328618.210701543
11_1,226.2999558238
11_2,220.376618022
11_3,186.5081913986
11_4,258.4882952457
11_5,307.5899292813
12_1,79572888.41026555
12_2,82157569.4679283
12_3,91122331.070163
12_4,82047283.28493595
12_5,86866755.365222
13_1,1340.09209645745
13_2,1288.3310434115
13_3,1290.258229975
13_4,1316.2747489208
13_5,1304.6000747433
14_1,16.6000954281
14_2,18.7220312958
14_3,15.1691847955
14_4,17.90094687
14_5,16.1029556114
15_1,508.0995101544
15_2,395.844998522
15_3,482.6926607129
15_4,488.12953197785
15_5,494.61791639809996
16_1,31.3968542036
16_2,26.7671182599
16_3,30.2647537406
16_4,29.9251006568
16_5,24.7532854288
17_1,6.6689327033
17_2,7.6772226024
17_3,7.79247264
17_4,7.094081278
17_5,7.14603944965
18_1,28.0115093974
18_2,28.5215298544
18_3,24.3333865616
18_4,27.9278458382
18_5,24.6433087532
19_1,12.084307754000001
19_2,11.82119536385
19_3,12.24512602675
19_4,12.35363394665
19_5,11.35337124395
20_1,12407.2485930174
20_2,8583.9944544007
20_3,12397.3852927159
20_4,10774.2234078405
20_5,2911.8847207964
21_1,59.3905232226
21_2,47.6600245002
21_3,59.704817504999994
21_4,60.28582575115
21_5,62.3546134843
22_1,55.5571848331
22_2,31.1577480368
22_3,46.3342145395
22_4,43.5160504581
22_5,56.3253336327
23_1,3.7380866141
23_2,3.90649808415
23_3,3.8453649112
23_4,3.70330718145
23_5,3.6271393841
24_1,543.6142303561
24_2,535.98416013465
24_3,480.3683086718
24_4,471.9508992961
24_5,526.5650267282
