,target
1_1,31.835557472999998
1_2,27.362106734949997
1_3,32.329629583650004
1_4,28.045687013
1_5,34.74926079515
2_1,539030.3548123585
2_2,479624.7051840365
2_3,676982.153209676
2_4,498533.6468817735
2_5,695436.882568961
3_1,360.16323578845004
3_2,353.92300986725
3_3,328.25243068025
3_4,343.44346662925
3_5,348.42310085145
4_1,486.75278170215
4_2,502.29028585339995
4_3,512.30555887405
4_4,527.86512553355
4_5,497.737472929
5_1,0.6922043063500001
5_2,1.60000128755
5_3,1.2210618905
5_4,0.5436031175
5_5,1.22309026185
6_1,10951.6159092524
6_2,689.45901859695
6_3,666.61920285375
6_4,484.6743155519
6_5,433.7012232497
7_1,293.7076622578
7_2,315.52734110095
7_3,264.47134996795
7_4,296.6731493797
7_5,289.341863806
8_1,15730.1636724614
8_2,14326.5601185573
8_3,13498.67473955655
8_4,12752.197457342201
8_5,15530.4796433513
9_1,27406.82733427695
9_2,24428.10084229755
9_3,25349.02050340375
9_4,22209.725922702048
9_5,26149.025467177402
10_1,551689.1033011919
10_2,577009.7247183966
10_3,613746.265616867
10_4,743729.0146340679
10_5,642877.2795930495
11_1,246.8992864045
11_2,268.6359443487
11_3,269.69385582645
11_4,283.91218047714995
11_5,275.43957675139995
12_1,72186033.5987153
12_2,66951845.785156146
12_3,58599872.966366
12_4,65221201.40861935
12_5,57080365.0833039
13_1,1272.10475715155
13_2,1147.15177625925
13_3,1186.6747878625001
13_4,1250.09148042255
13_5,1233.65089741305
14_1,17.63874202325
14_2,19.774275941200003
14_3,19.79523701725
14_4,19.30210721945
14_5,18.58533871975
15_1,495.69525966230003
15_2,533.40332100215
15_3,543.08448455045
15_4,491.13086628215
15_5,521.5527905329
16_1,25.29583465025
16_2,23.362338755750002
16_3,26.02067316675
16_4,26.0745525818
16_5,27.0544734874
17_1,8.6395205155
17_2,8.89057930305
17_3,9.2138688356
17_4,9.2410789649
17_5,8.083362526599998
18_1,32.80240358505
18_2,31.90239838055
18_3,32.8100728665
18_4,34.05261839815
18_5,29.836233649500002
19_1,12.10627677435
19_2,12.17300905
19_3,12.045245539900002
19_4,13.172139913799999
19_5,11.467105287199999
20_1,6404.0731088047
20_2,7773.241198973799
20_3,6358.22286572925
20_4,7064.092221114301
20_5,7606.97877435825
21_1,42.742280083249995
21_2,51.693130514
21_3,52.9563659186
21_4,45.36875996295
21_5,51.11223277045
22_1,46.27178914955
22_2,44.13444706955
22_3,45.1970652358
22_4,48.960824123349994
22_5,55.4479697829
23_1,3.6317672988
23_2,3.2320450588
23_3,3.4903806064
23_4,3.5603264432
23_5,3.6774764789
24_1,570.6364765978999
24_2,547.7065213723
24_3,537.0488769792
24_4,558.6957631044
24_5,569.00358429895
