level_0,level_1,level_2,individual importance,total importance,individual std,total std,label
elitist,,,0.2784309729828451,0.2784309729828451,0.15623867597200203,0.15623867597200203,main
weights_option,,,0.1413440831318489,0.1413440831318489,0.14361962613749601,0.14361962613749601,main
elitist,weights_option,,0.09170990791420014,0.5114849640288941,0.06037559238490561,0.1669099709728319,pairwise
base_sampler,,,0.08820585109370796,0.08820585109370796,0.08047047291479924,0.08047047291479924,main
elitist,base_sampler,,0.04941099485773691,0.41604781893429005,0.04788362923895071,0.1701701403382864,pairwise
base_sampler,weights_option,,0.04065406945881203,0.2702040036843689,0.04094207513630775,0.17959761565370386,pairwise
mirrored,base_sampler,,0.02818108304608949,0.131441415306389,0.05840082537991694,0.11411583276330885,pairwise
elitist,base_sampler,weights_option,0.027339453016346146,0.7170953324554972,0.024131849542530875,0.1507237018403775,triple
local_restart,,,0.016098957834826427,0.016098957834826427,0.025924067048020055,0.025924067048020055,main
step_size_adaptation,,,0.015847846873561534,0.015847846873561534,0.04434418692443327,0.04434418692443327,main
mirrored,,,0.015054481166591513,0.015054481166591513,0.0244396312949262,0.0244396312949262,main
weights_option,step_size_adaptation,,0.012887956050178305,0.17007988605558869,0.016226544659022756,0.16359265634225753,pairwise
mirrored,base_sampler,weights_option,0.012826800919090286,0.3344117406847685,0.014775970169993864,0.18005887229951784,triple
base_sampler,weights_option,step_size_adaptation,0.012494183725080639,0.319060208485076,0.018224505923841006,0.20387476841812016,triple
weights_option,local_restart,,0.011148385783099726,0.168591426749775,0.01875045017063552,0.1596896601522298,pairwise
elitist,local_restart,,0.010350501734172395,0.3048804325518439,0.013921874309601106,0.15455310515027318,pairwise
elitist,step_size_adaptation,,0.00845784690594867,0.3027366667623552,0.019194020023034858,0.15394907487532966,pairwise
base_sampler,local_restart,,0.008372195715398163,0.11267700464393257,0.01485317143092188,0.08706214308226369,pairwise
mirrored,weights_option,,0.008145371868628315,0.16454393616706875,0.009639817769050079,0.13912156695019398,pairwise
base_sampler,step_size_adaptation,,0.007626218151886618,0.11167991611915612,0.010533819856602516,0.09739876925871441,pairwise
base_sampler,weights_option,local_restart,0.006747201812168082,0.31257074482986125,0.008712272127863643,0.19687552368058686,triple
elitist,weights_option,local_restart,0.0064364237795333755,0.555519233160526,0.007094024228461762,0.16638839523294266,triple
elitist,weights_option,step_size_adaptation,0.006290370201347753,0.5549689840599302,0.008498370279955715,0.16320641864959162,triple
elitist,mirrored,base_sampler,0.005340371504851411,0.468637916913035,0.007908442733834425,0.17423940316983408,triple
mirrored,base_sampler,step_size_adaptation,0.005325975183588342,0.16401932432481,0.012475657357067212,0.13289324547191633,triple
elitist,base_sampler,step_size_adaptation,0.004371175991534899,0.4523509068572216,0.00678867144131598,0.16286311347894764,triple
elitist,base_sampler,local_restart,0.004112439185312596,0.45498191340399957,0.004075437000578944,0.16602983367261928,triple
elitist,mirrored,weights_option,0.004094546392348701,0.5427935257176754,0.004140530293969562,0.15645489698945914,triple
elitist,mirrored,,0.0040141622612127744,0.2974996164106493,0.006216545133803701,0.15450175706204475,pairwise
mirrored,step_size_adaptation,,0.003777868809384573,0.03468019684953761,0.00636509300495671,0.052203791057099894,pairwise
mirrored,weights_option,step_size_adaptation,0.0032478078464546287,0.20030541574664773,0.0035344346705844564,0.15966086042308586,triple
mirrored,base_sampler,local_restart,0.0030524616147396795,0.16124089021217766,0.007669373085179172,0.11651211930546186,triple
weights_option,local_restart,step_size_adaptation,0.0024010777152738906,0.20169321416839034,0.0035735257944162465,0.18146593572698363,triple
mirrored,local_restart,,0.0022758597408243826,0.03342929874224232,0.003632897742678368,0.03408094378230086,pairwise
mirrored,weights_option,local_restart,0.002184391571742157,0.19625153109756138,0.002899028288507025,0.15569032065389507,triple
local_restart,step_size_adaptation,,0.0019649067796016135,0.03391171148798957,0.0036836737671495858,0.05291354992300347,pairwise
elitist,mirrored,step_size_adaptation,0.0017033850919083806,0.32728656409145246,0.002461515035487238,0.15163773515772944,triple
base_sampler,local_restart,step_size_adaptation,0.0016810763342631257,0.13979705278324545,0.002702727664924322,0.1029534491703369,triple
elitist,local_restart,step_size_adaptation,0.0011817257782627097,0.3323327588892184,0.0017639175361325993,0.1510748384274703,triple
elitist,mirrored,local_restart,0.0010912052444338731,0.32731614096490635,0.0012356673624210398,0.1524078847793527,triple
mirrored,local_restart,step_size_adaptation,0.0009730254352317272,0.05599294664002175,0.003358021234798855,0.06016060051635855,triple
