level_0,level_1,level_2,individual importance,total importance,individual std,total std,label
elitist,,,0.1596202065716243,0.1596202065716243,0.163326165978371,0.163326165978371,main
mirrored,,,0.15114274742895437,0.15114274742895437,0.11842107127302734,0.11842107127302734,main
mirrored,weights_option,,0.12012001307068859,0.3511293841673069,0.0913287816225814,0.18649635013618876,pairwise
elitist,mirrored,,0.09494670292364718,0.4057096569242259,0.08048000299393755,0.15830239705876606,pairwise
weights_option,,,0.07986662366766391,0.07986662366766391,0.06296465880025448,0.06296465880025448,main
elitist,mirrored,weights_option,0.07025071920516399,0.7271495182108113,0.05586012311102375,0.16448001957992966,triple
elitist,weights_option,,0.05120250534306908,0.2906893355823572,0.05044585810965851,0.1637126126105849,pairwise
local_restart,,,0.03193854374268175,0.03193854374268175,0.04299260217159216,0.04299260217159216,main
mirrored,weights_option,step_size_adaptation,0.017889089284394,0.40303764632154154,0.027421502471799575,0.20200394386759296,triple
mirrored,step_size_adaptation,,0.016802877168902653,0.17764567367266518,0.02311887740221935,0.12535156886447146,pairwise
elitist,mirrored,step_size_adaptation,0.01224196647899129,0.4498950321092916,0.01691647989857005,0.16311669184937944,triple
mirrored,local_restart,,0.010872527620128485,0.19395381879176457,0.021562659503419505,0.12722805323215292,pairwise
elitist,local_restart,,0.009976579640931217,0.20153532995523726,0.019542521546601497,0.18350815753283295,pairwise
step_size_adaptation,,,0.009700049074808165,0.009700049074808165,0.01524340708315927,0.01524340708315927,main
mirrored,base_sampler,weights_option,0.009378162259531492,0.3819809109869011,0.015324756215459277,0.19130347590701755,triple
mirrored,base_sampler,,0.009004553511906375,0.16679221043156175,0.016715114672095594,0.12508020648303939,pairwise
mirrored,weights_option,local_restart,0.008882988895236778,0.4090313555668979,0.014624819957010527,0.1783847379344234,triple
weights_option,step_size_adaptation,,0.007516246626129905,0.09708291936860196,0.013637285509280301,0.07055139315553785,pairwise
elitist,mirrored,local_restart,0.006931522287006296,0.4654288302149736,0.012761727465049189,0.16558319463978347,triple
base_sampler,,,0.006644909490701056,0.006644909490701056,0.011456842354972244,0.011456842354972244,main
elitist,mirrored,base_sampler,0.006388411286380935,0.4319556754265434,0.015402677326246823,0.15861246084114342,triple
weights_option,local_restart,,0.006207911141544033,0.11801307855188968,0.008605880941837693,0.06681682136763943,pairwise
base_sampler,weights_option,,0.005823901557455299,0.09233543471582024,0.011135997427297694,0.06590500338164752,pairwise
elitist,step_size_adaptation,,0.005440482462363648,0.17476073810879608,0.0066939266729828745,0.16521320256782332,pairwise
elitist,weights_option,local_restart,0.0046834379236314885,0.3434958080311457,0.007674391306930834,0.17933357278539075,triple
elitist,weights_option,step_size_adaptation,0.0046749559263096875,0.31802106967196864,0.005385366790028006,0.1647107022730322,triple
elitist,base_sampler,,0.0042081442133291465,0.17047326027565443,0.010272989768610918,0.16389797830038333,pairwise
elitist,base_sampler,weights_option,0.003831307818542255,0.31119759866238506,0.006971405024337817,0.162555689551949,triple
mirrored,base_sampler,local_restart,0.0031356547467017498,0.21499669885732955,0.005326639399014234,0.13689266455185892,triple
mirrored,local_restart,step_size_adaptation,0.0029937434022607747,0.22612585536531804,0.004606764185895964,0.13467893841867618,triple
mirrored,base_sampler,step_size_adaptation,0.0027311648191737266,0.1976990197843001,0.004893764404133492,0.13292740408469383,triple
local_restart,step_size_adaptation,,0.0026753669275818653,0.044313959745071775,0.003912721381183177,0.050045403046223694,pairwise
base_sampler,local_restart,,0.002257762316255843,0.04084121554963865,0.0047253100461553035,0.04804256969806648,pairwise
base_sampler,weights_option,step_size_adaptation,0.0018488840722127625,0.11307333277882485,0.004132605884328391,0.07409228600460037,triple
base_sampler,weights_option,local_restart,0.0017390384868602022,0.13447869040316207,0.00405034513531052,0.07193116148602119,triple
base_sampler,step_size_adaptation,,0.0016727182898537713,0.01801767685536299,0.002454043098461159,0.01992890295164302,pairwise
weights_option,local_restart,step_size_adaptation,0.0015945759137367809,0.1394993170941464,0.0020523161264517234,0.0755855340825992,triple
elitist,local_restart,step_size_adaptation,0.0014150032893335623,0.2207662317093245,0.0023078801748021914,0.18690580290943049,triple
elitist,base_sampler,local_restart,0.0012349763374646014,0.21588112231298787,0.0030656202124740043,0.1862823922843411,triple
elitist,base_sampler,step_size_adaptation,0.0009266624297590307,0.1882131725324391,0.001310530917219589,0.1657602298878243,triple
base_sampler,local_restart,step_size_adaptation,0.0008074396624106394,0.05569678950429308,0.0012834079992121532,0.05586752231224312,triple
