level_0,level_1,level_2,individual importance,total importance,individual std,total std,label
crossover,,,0.27324238925619254,0.27324238925619254,0.180999187939371,0.180999187939371,main
lpsr,,,0.17090475998204716,0.17090475998204716,0.17909582391149156,0.17909582391149156,main
crossover,lpsr,,0.08631515314877677,0.5304623023870166,0.0712851534848464,0.18628629253707046,pairwise
adaptation_method,,,0.04764488078303459,0.04764488078303459,0.05128619464500906,0.05128619464500906,main
mutation_base,,,0.04629341238466976,0.04629341238466976,0.05830335165384249,0.05830335165384249,main
crossover,adaptation_method,,0.02304325481660906,0.34393052485583625,0.024947731451599113,0.17098776795823295,pairwise
mutation_base,adaptation_method,,0.020510753174875208,0.11444904634257957,0.025615498244878365,0.1077302477422254,pairwise
mutation_base,lpsr,,0.018800348138370147,0.23599852050508713,0.023092001925758426,0.16757914576367866,pairwise
mutation_base,crossover,,0.01743936990814611,0.3369751715490084,0.022233837671762898,0.18830778306246815,pairwise
mutation_reference,,,0.017254484566820553,0.017254484566820553,0.026477807068066204,0.026477807068066204,main
mutation_base,mutation_reference,,0.01572264682572673,0.07927054377721707,0.024927663038611683,0.0727745163063951,pairwise
adaptation_method,lpsr,,0.013840567245841328,0.23239020801092308,0.022710345613060214,0.17087893880035937,pairwise
mutation_reference,lpsr,,0.01351216579408285,0.20167141034295055,0.019026747261414206,0.19117871713392895,pairwise
mutation_n_comps,,,0.011946229424097992,0.011946229424097992,0.022484748393153255,0.022484748393153255,main
mutation_base,crossover,adaptation_method,0.009376838567001689,0.43755089889052895,0.009161584895971001,0.19119832348858914,triple
mutation_base,adaptation_method,lpsr,0.008781019319489377,0.32677574102832757,0.011525105686163674,0.17205478008440742,triple
mutation_base,mutation_reference,lpsr,0.00814706828272146,0.2906348859744387,0.007285135861660741,0.18398129223111453,triple
crossover,adaptation_method,lpsr,0.007846733915823464,0.622837739148325,0.010448050873900936,0.15427926780172674,triple
mutation_base,crossover,lpsr,0.007830077043579528,0.6208255098617821,0.010746184876060242,0.1563336766441202,triple
mutation_n_comps,lpsr,,0.007220357413918393,0.1900713468200636,0.010274057429897896,0.18307405308304445,pairwise
use_archive,,,0.007180913285660172,0.007180913285660172,0.02533556530186948,0.02533556530186948,main
mutation_reference,crossover,,0.007089242799321022,0.29758611662233414,0.00947962325508659,0.18350852766485892,pairwise
mutation_base,mutation_reference,crossover,0.006782865682695213,0.3838244114235719,0.010371055389977032,0.19023839543782783,triple
mutation_reference,adaptation_method,,0.0067732242199443305,0.07167258956979947,0.010954407414055645,0.058076965605602736,pairwise
mutation_reference,crossover,lpsr,0.006342448123915433,0.5746606436711565,0.007240305936102163,0.18684509957089285,triple
mutation_base,mutation_reference,mutation_n_comps,0.00562825102368419,0.10742985200385613,0.012966992780991731,0.09050455742077645,triple
mutation_base,mutation_n_comps,,0.0053523835551799155,0.06359202536394769,0.00787169304054914,0.0635506894921615,pairwise
mutation_base,mutation_reference,adaptation_method,0.005279724744593597,0.1594791266996648,0.005012865825355214,0.11871865132736185,triple
mutation_reference,mutation_n_comps,,0.005232444223676958,0.0344331582145955,0.009889487209346265,0.0401179363104189,pairwise
use_archive,crossover,,0.0042402896295012284,0.2846635921713539,0.015396620969862404,0.18702450700787573,pairwise
mutation_n_comps,adaptation_method,,0.0041122292290671145,0.0637033394361997,0.008814262478852834,0.05900062334056287,pairwise
mutation_n_comps,crossover,,0.004049063134577858,0.2892376818148684,0.008154325389285086,0.17412561890939118,pairwise
mutation_reference,adaptation_method,lpsr,0.0036263228315061118,0.273556405423277,0.0038210703282958725,0.18032040862657683,triple
mutation_reference,crossover,adaptation_method,0.003515842729452898,0.37856331917137503,0.004363709734145052,0.17381844653407308,triple
mutation_base,mutation_n_comps,lpsr,0.003442843878528974,0.2639603347768124,0.006332245910406154,0.1729635920141069,triple
use_archive,lpsr,,0.0034193611729133122,0.18150503444062072,0.01242871927443239,0.1874522860592289,pairwise
mutation_base,mutation_n_comps,adaptation_method,0.0033674192977591662,0.13922730784868376,0.004973451157404408,0.11513730822636609,triple
mutation_base,use_archive,,0.0030245873054584134,0.056498912975788365,0.0063948003773459106,0.06322085224357184,pairwise
mutation_reference,mutation_n_comps,lpsr,0.0024341811980383176,0.22850462260268226,0.004439619985234975,0.19838340684789935,triple
mutation_n_comps,crossover,lpsr,0.0023725628920462307,0.5560505152516569,0.005925118418946144,0.17694932262447646,triple
mutation_reference,mutation_n_comps,crossover,0.0021361797767084074,0.3209500331813953,0.0030394355187512373,0.17501469692189994,triple
mutation_base,use_archive,adaptation_method,0.0020357836145104098,0.12860908265966894,0.003376695836708564,0.10999663049215623,triple
mutation_reference,use_archive,,0.0019676158844171648,0.026403013736897893,0.0031780374745467833,0.036574413209882896,pairwise
mutation_base,mutation_n_comps,crossover,0.0019296594997922324,0.3602525071626564,0.002226038761183097,0.18037716563890152,triple
use_archive,adaptation_method,,0.001918752111460355,0.05674454618015511,0.003097880813726447,0.05479278435977526,pairwise
mutation_reference,mutation_n_comps,adaptation_method,0.001884713140496532,0.09484820558713808,0.0023060518225702397,0.06885597376550019,triple
use_archive,crossover,lpsr,0.0017664919351754642,0.5470693584102667,0.0048155535945542454,0.19212872039190795,triple
mutation_base,use_archive,lpsr,0.0017577713531760203,0.2513811536222951,0.004295163503894426,0.17538938797818704,triple
mutation_n_comps,adaptation_method,lpsr,0.0017567001656034627,0.2574257242436101,0.0026333253496352805,0.17629868256344894,triple
mutation_base,mutation_reference,use_archive,0.0017231067029071403,0.09316676695566,0.002323181711788822,0.07588447912463511,triple
mutation_base,use_archive,crossover,0.0017026917445549503,0.3531236535141833,0.003294779630917777,0.1945158078981187,triple
