level_0,level_1,level_2,individual importance,total importance,individual std,total std,label
lpsr,,,0.4893620198659832,0.4893620198659832,0.22968097526650574,0.22968097526650574,main
mutation_reference,,,0.055609616962662735,0.055609616962662735,0.08790624340449522,0.08790624340449522,main
mutation_base,,,0.05548300967621743,0.05548300967621743,0.0724945694342712,0.0724945694342712,main
mutation_n_comps,,,0.04118843959706225,0.04118843959706225,0.07462917652818327,0.07462917652818327,main
mutation_n_comps,lpsr,,0.033308489239058665,0.5638589487021042,0.05528313435513191,0.2267890493332691,pairwise
mutation_base,lpsr,,0.025772544558225294,0.5706175741004261,0.0404707100328215,0.2138383069261364,pairwise
mutation_reference,use_archive,,0.02286207648777923,0.09222477456051077,0.036158711110428794,0.11265109047531245,pairwise
mutation_reference,lpsr,,0.022475890104858443,0.5674475269335045,0.028742225532729117,0.20076446396460043,pairwise
mutation_base,mutation_reference,,0.019742762700656093,0.13083538933953628,0.02142920694513992,0.12425664333769854,pairwise
use_archive,,,0.01375308111006881,0.01375308111006881,0.023942105010827764,0.023942105010827764,main
use_archive,lpsr,,0.013534460975023158,0.5166495619510753,0.036350844387667974,0.2280405183746875,pairwise
mutation_base,mutation_n_comps,,0.011830689114043913,0.1085021383873236,0.017880304679156613,0.11925996599256651,pairwise
crossover,,,0.010715771878805095,0.010715771878805095,0.025451227181571546,0.025451227181571546,main
adaptation_method,,,0.01054624859210566,0.01054624859210566,0.031451737384118515,0.031451737384118515,main
mutation_base,use_archive,,0.008946044805359541,0.0781821355916458,0.01162379079014115,0.08123180688903092,pairwise
mutation_base,mutation_reference,lpsr,0.008918936651210262,0.6773647805198136,0.012211550154271984,0.17483354579647928,triple
mutation_base,mutation_reference,use_archive,0.007912499415855178,0.18430909115859906,0.014570895913205976,0.15516372912297774,triple
mutation_reference,use_archive,lpsr,0.007873036478952185,0.6254701819853278,0.01098514139956693,0.19290448185033585,triple
mutation_reference,mutation_n_comps,,0.007819136043586354,0.10461719260331133,0.01310125866968386,0.10884877896198387,pairwise
mutation_n_comps,use_archive,,0.006172594728568893,0.061114115435699945,0.012829612150340798,0.08424013694132503,pairwise
mutation_base,mutation_reference,mutation_n_comps,0.005804186434829602,0.19747784052905842,0.007814142184314275,0.15699403985342386,triple
mutation_base,mutation_n_comps,lpsr,0.005587683889094216,0.6625328759396849,0.007914127662220515,0.20920851573709376,triple
crossover,lpsr,,0.00558496932314399,0.5056627610679323,0.016819651513868526,0.22170532518667596,pairwise
mutation_base,adaptation_method,,0.004538630221239353,0.07056788848956246,0.005375932946874311,0.07765144321455512,pairwise
mutation_base,mutation_reference,adaptation_method,0.004331047681444111,0.15455771372752028,0.007016046781382935,0.13622793662331573,triple
mutation_reference,adaptation_method,,0.004306397893194869,0.07046226344796326,0.007638083593556999,0.09951532606895487,pairwise
mutation_base,use_archive,lpsr,0.003957994955041593,0.6108091559459191,0.007650427197308403,0.20905279033871954,triple
adaptation_method,lpsr,,0.003939430202120861,0.5038476986602098,0.01634398921089238,0.22602978573740956,pairwise
mutation_reference,crossover,,0.0038268339065959615,0.0701522227480638,0.006154110006604213,0.10217166374726308,pairwise
mutation_n_comps,use_archive,lpsr,0.0034480517296720725,0.6007671372454372,0.011016420258929831,0.22494085341531558,triple
mutation_reference,mutation_n_comps,lpsr,0.0033571979017045766,0.6531207897149165,0.004563910060352391,0.18166573185097418,triple
mutation_base,crossover,,0.003090000359171309,0.06928878191419387,0.004760978501114831,0.07670068485251375,pairwise
mutation_base,mutation_n_comps,use_archive,0.0030063576269016546,0.1403802166582225,0.003959583780534147,0.13013311571115374,triple
mutation_reference,mutation_n_comps,use_archive,0.002795446908904099,0.15020039183863237,0.003781095156834287,0.12800240988301484,triple
mutation_base,mutation_reference,crossover,0.0023633911382104143,0.15083138662231907,0.003187778791862827,0.13768316346834514,triple
mutation_reference,use_archive,adaptation_method,0.002027160225043576,0.11064595989588144,0.0028956262507036008,0.12554272383992338,triple
mutation_base,use_archive,adaptation_method,0.0018670708658291122,0.09667546389584648,0.0025509539840549724,0.0880475945134474,triple
